Activity	mean	median	variance	distance	diff	sign	levels	trend	distance2	distance
discrete	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous	continuous	continuous
class										
Empty-2	-52.8666666667	-52.95	0.225092573548	0.216666666667	-0.1	-1.0	4	-1.0	0.279880927062	0.216666666667
Empty-2	-53.15	-52.95	0.789303490427	0.5	1.6	1.0	5	-1.0	0.785281265959	0.5
Empty-2	-53.1666666667	-52.95	0.789092305543	0.683333333333	0.5	1.0	5	-1.0	0.982344135219	0.683333333333
Empty-2	-53.1981481481	-52.95	0.770294690015	0.701851851852	0.388888888889	1.0	5	-1.0	0.987149948375	0.701851851852
Empty-2	-53.1981481481	-52.95	0.770294690015	0.683333333333	-0.5	-1.0	5	-3.0	0.978776846491	0.683333333333
Empty-2	-53.2148148148	-53.0	0.766221019162	0.766666666667	0.2	1.0	5	-1.0	1.00813563004	0.766666666667
Empty-2	-53.1648148148	-52.9944444444	0.799920263516	0.55	-2.1	-1.0	5	-3.0	0.719725027511	0.55
Empty-2	-52.8481481481	-52.8444444444	0.273492877255	0.333333333333	-0.4	-1.0	4	-1.0	0.386873082409	0.333333333333
Empty-2	-52.8148148148	-52.8444444444	0.23090446602	0.314814814815	0.111111111111	1.0	4	1.0	0.374440597848	0.314814814815
Empty-2	-52.8166666667	-52.85	0.231660671385	0.266666666667	0.4	1.0	4	1.0	0.341565025532	0.266666666667
Empty-2	-52.9333333333	-52.95	0.216024689947	0.216666666667	0.1	1.0	4	1.0	0.267706306737	0.216666666667
Empty-2	-53.25	-52.95	0.880340843083	0.433333333333	2.4	1.0	5	3.0	0.754983443527	0.433333333333
Empty-2	-53.3166666667	-53.0	0.835264429188	0.733333333333	0.2	1.0	5	1.0	1.10905365064	0.733333333333
Empty-2	-53.35	-53.0	0.814248119433	0.7	0.0	0.0	5	0.0	1.10604400154	0.7
Empty-2	-53.3833333333	-53.1	0.80104098938	0.716666666667	0.3	1.0	5	2.0	1.10830200457	0.716666666667
Empty-2	-53.3833333333	-53.1	0.80104098938	0.716666666667	-0.3	-1.0	5	0.0	1.10830200457	0.716666666667
Empty-2	-53.35	-53.0	0.814248119433	0.433333333333	-2.0	-1.0	5	0.0	0.830662386292	0.433333333333
Empty-2	-53.0333333333	-53.0	0.103279555899	0.116666666667	0.1	1.0	4	2.0	0.158113883008	0.116666666667
Empty-2	-52.9833333333	-53.0	0.172240142437	0.183333333333	-0.3	-1.0	5	1.0	0.227303028283	0.183333333333
Empty-2	-52.9666666667	-52.95	0.175119007154	0.183333333333	-0.3	-1.0	5	1.0	0.227303028283	0.183333333333
Empty-2	-52.9148148148	-52.9	0.133271590643	0.135185185185	-0.0111111111111	-1.0	5	1.0	0.191539141687	0.135185185185
Empty-2	-52.9481481481	-52.95	0.152455889863	0.153703703704	0.1	1.0	5	1.0	0.206030482383	0.153703703704
Empty-2	-52.9314814815	-52.9	0.151113834398	0.17037037037	-0.2	-1.0	5	-1.0	0.217826903	0.17037037037
Empty-2	-52.9314814815	-52.9	0.151113834398	0.137037037037	0.4	1.0	5	1.0	0.165676068491	0.137037037037
Empty-2	-52.9648148148	-52.9	0.10480238115	0.137037037037	0.0	0.0	4	-1.0	0.165676068491	0.137037037037
Empty-2	-53.0555555556	-53.0	0.215108356273	0.225925925926	0.555555555556	1.0	4	1.0	0.277184551734	0.225925925926
Empty-2	-53.0574074074	-53.0	0.213427834008	0.281481481481	-0.2	-1.0	4	-1.0	0.344683310246	0.281481481481
Empty-2	-53.0240740741	-52.9	0.220931436397	0.248148148148	0.0	0.0	4	0.0	0.334872987408	0.248148148148
Empty-2	-53.0740740741	-53.0	0.221182754074	0.264814814815	0.1	1.0	4	0.0	0.347092568386	0.264814814815
Empty-2	-53.0759259259	-53.0055555556	0.221489532865	0.246296296296	0.211111111111	1.0	4	0.0	0.339298477436	0.246296296296
Empty-2	-53.1259259259	-53.1555555556	0.207235378393	0.17037037037	-0.244444444444	-1.0	4	0.0	0.258915115505	0.17037037037
Empty-2	-53.2351851852	-53.1555555556	0.445078251778	0.22962962963	1.2	1.0	6	2.0	0.390683689007	0.22962962963
Empty-2	-53.2018518519	-53.1555555556	0.481223577651	0.462962962963	-0.2	-1.0	6	1.0	0.692315254434	0.462962962963
Empty-2	-53.2	-53.1555555556	0.482636790563	0.444444444444	-0.311111111111	-1.0	6	1.0	0.685745516632	0.444444444444
Empty-2	-53.2	-53.1555555556	0.482636790563	0.481481481481	0.0888888888889	1.0	6	3.0	0.696463730854	0.481481481481
Empty-2	-53.1481481481	-53.0444444444	0.510031064978	0.533333333333	-0.4	-1.0	6	1.0	0.71443090823	0.533333333333
Empty-2	-53.0814814815	-52.8444444444	0.527732941565	0.383333333333	-1.3	-1.0	5	0.0	0.612708350387	0.383333333333
Empty-2	-52.8796296296	-52.8444444444	0.171905323737	0.164814814815	0.188888888889	1.0	4	2.0	0.223744784062	0.164814814815
Empty-2	-52.912962963	-52.8888888889	0.147809798814	0.135185185185	0.0111111111111	1.0	4	2.0	0.21008522668	0.135185185185
Empty-2	-52.9481481481	-52.8944444444	0.165053925594	0.116666666667	-0.1	-1.0	4	2.0	0.186200918078	0.116666666667
Empty-2	-52.8981481481	-52.8944444444	0.109638388039	0.0833333333333	0.1	1.0	4	2.0	0.121123003154	0.0833333333333
Empty-2	-53.1648148148	-52.9	0.613084356336	0.333333333333	1.6	1.0	5	3.0	0.624236158752	0.333333333333
Empty-2	-53.1425925926	-52.9	0.631103938405	0.607407407407	-0.222222222222	-1.0	5	1.0	0.942918156685	0.607407407407
Empty-2	-53.1944444444	-53.0	0.61875023382	0.694444444444	0.3	1.0	5	1.0	0.967719732919	0.694444444444
Empty-2	-53.2111111111	-53.05	0.610524971431	0.694444444444	-0.1	-1.0	5	-1.0	0.967719732919	0.694444444444
Empty-2	-53.1444444444	-52.95	0.645898742207	0.711111111111	-0.2	-1.0	5	-1.0	0.972015851113	0.711111111111
Empty-2	-53.1611111111	-53.0	0.639588988393	0.511111111111	-1.4	-1.0	5	-1.0	0.764731858114	0.511111111111
Empty-2	-52.9111111111	-52.95	0.20184335694	0.238888888889	0.233333333333	1.0	4	-1.0	0.292815198958	0.238888888889
Empty-2	-52.95	-52.95	0.164316767252	0.15	-0.3	-1.0	4	-2.0	0.195789002075	0.15
Empty-2	-52.95	-52.95	0.164316767252	0.166666666667	0.2	1.0	4	0.0	0.216024689947	0.166666666667
Empty-2	-52.95	-52.95	0.164316767252	0.15	0.3	1.0	4	0.0	0.195789002075	0.15
Empty-2	-53.2833333333	-53.0	0.702614166287	0.383333333333	1.7	1.0	5	0.0	0.710633520178	0.383333333333
Empty-2	-53.3333333333	-53.1	0.688960569747	0.6	0.4	1.0	5	0.0	0.911043357914	0.6
Empty-2	-53.3666666667	-53.15	0.668331255192	0.633333333333	0.2	1.0	5	-1.0	0.914694848934	0.633333333333
Empty-2	-53.4203703704	-53.2111111111	0.63547072731	0.603703703704	0.0222222222222	1.0	5	-1.0	0.907830589152	0.603703703704
Empty-2	-53.3703703704	-53.1611111111	0.667283665102	0.624074074074	-0.1	-1.0	5	-1.0	0.913670749605	0.624074074074
Empty-2	-53.337037037	-53.1611111111	0.693947970678	0.357407407407	-1.9	-1.0	6	-3.0	0.595646068302	0.357407407407
Empty-2	-53.037037037	-53.0	0.20057530425	0.140740740741	-0.4	-1.0	5	-1.0	0.172610077003	0.140740740741
Empty-2	-52.987037037	-52.95	0.153866491217	0.124074074074	-0.1	-1.0	5	1.0	0.157461864218	0.124074074074
Empty-2	-52.9203703704	-52.9	0.179631538745	0.153703703704	-0.522222222222	-1.0	5	-1.0	0.193143798112	0.153703703704
Empty-2	-52.9166666667	-52.9	0.172240142437	0.183333333333	0.3	1.0	5	1.0	0.248327740429	0.183333333333
Empty-2	-53.2666666667	-52.95	0.866410218469	0.466666666667	2.2	1.0	6	3.0	0.774596669241	0.466666666667
Empty-2	-53.3185185185	-53.0555555556	0.841857636323	0.764814814815	0.211111111111	1.0	5	1.0	1.0922378583	0.764814814815
Empty-2	-53.3351851852	-53.0555555556	0.832856653789	0.766666666667	0.0	0.0	5	-1.0	1.09241680946	0.766666666667
Empty-2	-53.3518518519	-53.1055555556	0.825778096719	0.733333333333	0.4	1.0	5	1.0	1.08629699082	0.733333333333
Empty-2	-53.4018518519	-53.1055555556	0.78656674402	0.666666666667	-0.2	-1.0	5	-1.0	1.06772709634	0.666666666667
Empty-2	-53.312962963	-53.05	0.842114231325	0.422222222222	-2.33333333333	-1.0	5	-3.0	0.78648564563	0.422222222222
Empty-2	-52.962962963	-53.0	0.16445445415	0.146296296296	-0.211111111111	-1.0	4	-1.0	0.181613708444	0.146296296296
